goos: darwin
goarch: arm64
pkg: github.com/wbrown/janus-datalog/datalog/executor
cpu: Apple M5
BenchmarkHashJoinIdentityHighFanout/keys100/fanout10-10     	     714	   1709663 ns/op	 3416502 B/op	   24698 allocs/op
BenchmarkHashJoinIdentityHighFanout/keys100/fanout10-10     	     703	   1699544 ns/op	 3416505 B/op	   24698 allocs/op
BenchmarkHashJoinIdentityHighFanout/keys100/fanout10-10     	     716	   1683514 ns/op	 3416498 B/op	   24698 allocs/op
BenchmarkHashJoinIdentityHighFanout/keys100/fanout10-10     	     718	   1683414 ns/op	 3416497 B/op	   24698 allocs/op
BenchmarkHashJoinIdentityHighFanout/keys100/fanout10-10     	     697	   1680743 ns/op	 3416500 B/op	   24698 allocs/op
BenchmarkHashJoinIdentityHighFanout/keys100/fanout50-10     	      22	  49947328 ns/op	99492245 B/op	  522895 allocs/op
BenchmarkHashJoinIdentityHighFanout/keys100/fanout50-10     	      22	  46326614 ns/op	99503349 B/op	  522895 allocs/op
BenchmarkHashJoinIdentityHighFanout/keys100/fanout50-10     	      24	  47308634 ns/op	99473244 B/op	  522893 allocs/op
BenchmarkHashJoinIdentityHighFanout/keys100/fanout50-10     	      25	  46706252 ns/op	99494406 B/op	  522894 allocs/op
BenchmarkHashJoinIdentityHighFanout/keys100/fanout50-10     	      24	  47872792 ns/op	99486922 B/op	  522894 allocs/op
BenchmarkHashJoinIdentityHighFanout/keys100/fanout50-10     	      22	  49761508 ns/op	99455130 B/op	  522893 allocs/op
BenchmarkHashJoinIdentityHighFanout/keys100/fanout50-10     	      22	  47747184 ns/op	99469830 B/op	  522893 allocs/op
BenchmarkHashJoinIdentityHighFanout/keys100/fanout50-10     	      25	  47357438 ns/op	99514100 B/op	  522895 allocs/op
BenchmarkHashJoinIdentityHighFanout/keys100/fanout50-10     	      25	  46201628 ns/op	99500987 B/op	  522895 allocs/op
BenchmarkHashJoinIdentityHighFanout/keys100/fanout50-10     	      24	  46095734 ns/op	99469865 B/op	  522894 allocs/op
