goos: darwin
goarch: arm64
pkg: github.com/wbrown/janus-datalog/datalog/executor
cpu: Apple M5
BenchmarkPatternMatch_LinearVsIndexed/Linear/10000/EA_bound-10       	 5773238	       200.9 ns/op	     681 B/op	       7 allocs/op
BenchmarkPatternMatch_LinearVsIndexed/Linear/10000/EA_bound-10       	 6194810	       187.8 ns/op	     681 B/op	       7 allocs/op
BenchmarkPatternMatch_LinearVsIndexed/Linear/10000/EA_bound-10       	 6382602	       206.3 ns/op	     681 B/op	       7 allocs/op
BenchmarkPatternMatch_LinearVsIndexed/Indexed/10000/EA_bound-10      	 6169744	       188.4 ns/op	     681 B/op	       7 allocs/op
BenchmarkPatternMatch_LinearVsIndexed/Indexed/10000/EA_bound-10      	 6307845	       185.8 ns/op	     681 B/op	       7 allocs/op
BenchmarkPatternMatch_LinearVsIndexed/Indexed/10000/EA_bound-10      	 6264304	       191.7 ns/op	     681 B/op	       7 allocs/op
BenchmarkPatternMatch_LinearVsIndexed/Indexed/10000/EA_bound-10      	 6144009	       189.0 ns/op	     681 B/op	       7 allocs/op
BenchmarkPatternMatch_LinearVsIndexed/Indexed/10000/EA_bound-10      	 6169954	       188.9 ns/op	     681 B/op	       7 allocs/op
BenchmarkPatternMatch_LinearVsIndexed/Linear/10000/E_bound-10        	 3263175	       364.7 ns/op	    1355 B/op	      12 allocs/op
BenchmarkPatternMatch_LinearVsIndexed/Linear/10000/E_bound-10        	 3293218	       368.8 ns/op	    1355 B/op	      12 allocs/op
BenchmarkPatternMatch_LinearVsIndexed/Linear/10000/E_bound-10        	 3171723	       371.3 ns/op	    1355 B/op	      12 allocs/op
BenchmarkPatternMatch_LinearVsIndexed/Linear/10000/E_bound-10        	 3251013	       467.7 ns/op	    1355 B/op	      12 allocs/op
BenchmarkPatternMatch_LinearVsIndexed/Linear/10000/E_bound-10        	 2529872	       445.1 ns/op	    1356 B/op	      12 allocs/op
