goos: darwin
goarch: arm64
pkg: github.com/wbrown/janus-datalog/datalog/executor
cpu: Apple M5
BenchmarkPatternMatch_LinearVsIndexed/Linear/10000/E_bound-10        	 3405588	       347.7 ns/op	    1355 B/op	      12 allocs/op
BenchmarkPatternMatch_LinearVsIndexed/Linear/10000/E_bound-10        	 3401948	       367.6 ns/op	    1355 B/op	      12 allocs/op
BenchmarkPatternMatch_LinearVsIndexed/Indexed/10000/E_bound-10       	 3292387	       352.2 ns/op	    1355 B/op	      12 allocs/op
BenchmarkPatternMatch_LinearVsIndexed/Indexed/10000/E_bound-10       	 3234190	       457.2 ns/op	    1355 B/op	      12 allocs/op
BenchmarkPatternMatch_LinearVsIndexed/Indexed/10000/E_bound-10       	 2654652	       388.0 ns/op	    1355 B/op	      12 allocs/op
BenchmarkPatternMatch_LinearVsIndexed/Indexed/10000/E_bound-10       	 3435224	       348.1 ns/op	    1355 B/op	      12 allocs/op
BenchmarkPatternMatch_LinearVsIndexed/Indexed/10000/E_bound-10       	 3397776	       355.7 ns/op	    1355 B/op	      12 allocs/op
BenchmarkPatternMatch_LinearVsIndexed/Linear/10000/A_bound-10        	    1844	    619319 ns/op	 4199867 B/op	   10078 allocs/op
BenchmarkPatternMatch_LinearVsIndexed/Linear/10000/A_bound-10        	    1812	    607726 ns/op	 4199967 B/op	   10079 allocs/op
BenchmarkPatternMatch_LinearVsIndexed/Linear/10000/A_bound-10        	    1783	    598133 ns/op	 4200062 B/op	   10080 allocs/op
BenchmarkPatternMatch_LinearVsIndexed/Linear/10000/A_bound-10        	    1851	    596129 ns/op	 4199845 B/op	   10078 allocs/op
BenchmarkPatternMatch_LinearVsIndexed/Linear/10000/A_bound-10        	    1833	    610768 ns/op	 4199901 B/op	   10078 allocs/op
BenchmarkPatternMatch_LinearVsIndexed/Indexed/10000/A_bound-10       	    1837	    597706 ns/op	 4199888 B/op	   10078 allocs/op
BenchmarkPatternMatch_LinearVsIndexed/Indexed/10000/A_bound-10       	    1858	    609434 ns/op	 4199824 B/op	   10078 allocs/op
BenchmarkPatternMatch_LinearVsIndexed/Indexed/10000/A_bound-10       	    1948	    683348 ns/op	 4199564 B/op	   10075 allocs/op
BenchmarkPatternMatch_LinearVsIndexed/Indexed/10000/A_bound-10       	    1830	    609481 ns/op	 4199911 B/op	   10078 allocs/op
BenchmarkPatternMatch_LinearVsIndexed/Indexed/10000/A_bound-10       	    1832	    743300 ns/op	 4199905 B/op	   10078 allocs/op
BenchmarkPatternMatch_LinearVsIndexed/Linear/10000/V_bound-10        	 2890981	       381.7 ns/op	    1371 B/op	      13 allocs/op
